fileName	sampleName	repeatNum	condition
/home/ubelix/izb/md17s996/2020_RNA_seq/McMurchy2017/fastq/PRJNA345014_hpl-2_ribo0_r1_c1.fastq.gz	hpl-2_ribo0	r1	c1
/home/ubelix/izb/md17s996/2020_RNA_seq/McMurchy2017/fastq/PRJNA345014_hpl-2_ribo0_r2_c1.fastq.gz	hpl-2_ribo0	r2	c1
/home/ubelix/izb/md17s996/2020_RNA_seq/McMurchy2017/fastq/PRJNA345014_let-418_ribo0_r1_c1.fastq.gz	let-418_ribo0	r1	c1
/home/ubelix/izb/md17s996/2020_RNA_seq/McMurchy2017/fastq/PRJNA345014_let-418_ribo0_r2_c1.fastq.gz	let-418_ribo0	r2	c1
/home/ubelix/izb/md17s996/2020_RNA_seq/McMurchy2017/fastq/PRJNA345014_lin-13_ribo0_r1_c2.fastq.gz	lin-13_ribo0	r1	c2
/home/ubelix/izb/md17s996/2020_RNA_seq/McMurchy2017/fastq/PRJNA345014_lin-13_ribo0_r2_c2.fastq.gz	lin-13_ribo0	r2	c2
/home/ubelix/izb/md17s996/2020_RNA_seq/McMurchy2017/fastq/PRJNA345014_lin-61_ribo0_r1_c1.fastq.gz	lin-61_ribo0	r1	c1
/home/ubelix/izb/md17s996/2020_RNA_seq/McMurchy2017/fastq/PRJNA345014_lin-61_ribo0_r2_c1.fastq.gz	lin-61_ribo0	r2	c1
/home/ubelix/izb/md17s996/2020_RNA_seq/McMurchy2017/fastq/PRJNA345014_met-2_set-25_ribo0_r1_c1.fastq.gz	met-2_set-25_ribo0	r1	c1
/home/ubelix/izb/md17s996/2020_RNA_seq/McMurchy2017/fastq/PRJNA345014_met-2_set-25_ribo0_r2_c1.fastq.gz	met-2_set-25_ribo0	r2	c1
/home/ubelix/izb/md17s996/2020_RNA_seq/McMurchy2017/fastq/PRJNA345014_nrde2_let-418_ribo0_r1_c2.fastq.gz	nrde2_let-418_ribo0	r1	c2
/home/ubelix/izb/md17s996/2020_RNA_seq/McMurchy2017/fastq/PRJNA345014_nrde2_let-418_ribo0_r2_c2.fastq.gz	nrde2_let-418_ribo0	r2	c2
/home/ubelix/izb/md17s996/2020_RNA_seq/McMurchy2017/fastq/PRJNA345014_nrde2_ribo0_r1_c2.fastq.gz	nrde2_ribo0	r1	c2
/home/ubelix/izb/md17s996/2020_RNA_seq/McMurchy2017/fastq/PRJNA345014_nrde2_ribo0_r2_c2.fastq.gz	nrde2_ribo0	r2	c2
/home/ubelix/izb/md17s996/2020_RNA_seq/McMurchy2017/fastq/PRJNA345014_prg-1_ribo0_r1_c2.fastq.gz	prg-1_ribo0	r1	c2
/home/ubelix/izb/md17s996/2020_RNA_seq/McMurchy2017/fastq/PRJNA345014_prg-1_ribo0_r2_c2.fastq.gz	prg-1_ribo0	r2	c2
/home/ubelix/izb/md17s996/2020_RNA_seq/McMurchy2017/fastq/PRJNA345014_WT_ribo0_r1_c1.fastq.gz	WT_ribo0	r1	c1
/home/ubelix/izb/md17s996/2020_RNA_seq/McMurchy2017/fastq/PRJNA345014_WT_ribo0_r2_c1.fastq.gz	WT_ribo0	r2	c1
/home/ubelix/izb/md17s996/2020_RNA_seq/McMurchy2017/fastq/PRJNA345014_WT_ribo0_r1_c2.fastq.gz	WT_ribo0	r1	c2
/home/ubelix/izb/md17s996/2020_RNA_seq/McMurchy2017/fastq/PRJNA345014_WT_ribo0_r2_c2.fastq.gz	WT_ribo0	r2	c2

