Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,genetic_background,Genotype,GEO_Accession (exp),Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,cell_type,passage,Developmental_Stage,tissue
SRR413510,RNA-Seq,76,1916887276,PRJNA151765,SAMN00792246,1300234263,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX121891,N2 var. Bristol,wild type,GSM879792,Illumina Genome Analyzer IIx,GSM879792: Endogenous mRNA from  N2 var. Bristol (wildtype) 1,SINGLE,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2012-02-27T00:00:00Z,GSM879792,whole animal; N2 var Bristol,SRP011038,,,adult (5 days after L4),whole animal
SRR413511,RNA-Seq,76,1786178524,PRJNA151765,SAMN00792246,1261364074,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX121891,N2 var. Bristol,wild type,GSM879792,Illumina Genome Analyzer IIx,GSM879792: Endogenous mRNA from  N2 var. Bristol (wildtype) 1,SINGLE,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2012-02-27T00:00:00Z,GSM879792,whole animal; N2 var Bristol,SRP011038,,,adult (5 days after L4),whole animal
SRR413512,RNA-Seq,76,1914100204,PRJNA151765,SAMN00792247,1293371764,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX121892,N2 var. Bristol,daf-2(e1370),GSM879793,Illumina Genome Analyzer IIx,GSM879793: Endogenous mRNA from daf-2(e1370) mutant 1,SINGLE,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2012-02-27T00:00:00Z,GSM879793,"whole animal\, daf-2(e1370) mutant",SRP011038,,,adult (5 days after L4),whole animal
SRR413513,RNA-Seq,76,1694642072,PRJNA151765,SAMN00792247,1198850709,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX121892,N2 var. Bristol,daf-2(e1370),GSM879793,Illumina Genome Analyzer IIx,GSM879793: Endogenous mRNA from daf-2(e1370) mutant 1,SINGLE,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2012-02-27T00:00:00Z,GSM879793,"whole animal\, daf-2(e1370) mutant",SRP011038,,,adult (5 days after L4),whole animal
SRR413514,RNA-Seq,76,1850055612,PRJNA151765,SAMN00792248,1253107584,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX121893,N2 var. Bristol,wild type,GSM879794,Illumina Genome Analyzer IIx,GSM879794: Endogenous mRNA from  N2 var. Bristol (wildtype) 2,SINGLE,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2012-02-27T00:00:00Z,GSM879794,whole animal; N2 var Bristol,SRP011038,,,adult (5 days after L4),whole animal
SRR413515,RNA-Seq,76,1828109092,PRJNA151765,SAMN00792248,1279812233,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX121893,N2 var. Bristol,wild type,GSM879794,Illumina Genome Analyzer IIx,GSM879794: Endogenous mRNA from  N2 var. Bristol (wildtype) 2,SINGLE,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2012-02-27T00:00:00Z,GSM879794,whole animal; N2 var Bristol,SRP011038,,,adult (5 days after L4),whole animal
SRR413516,RNA-Seq,76,1761149444,PRJNA151765,SAMN00792249,1190919649,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX121894,N2 var. Bristol,daf-2(e1370),GSM879795,Illumina Genome Analyzer IIx,GSM879795: Endogenous mRNA from daf-2(e1370) mutant 2,SINGLE,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2012-02-27T00:00:00Z,GSM879795,"whole animal\, daf-2(e1370) mutant",SRP011038,,,adult (5 days after L4),whole animal
SRR413517,RNA-Seq,76,1846524728,PRJNA151765,SAMN00792249,1288797196,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX121894,N2 var. Bristol,daf-2(e1370),GSM879795,Illumina Genome Analyzer IIx,GSM879795: Endogenous mRNA from daf-2(e1370) mutant 2,SINGLE,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2012-02-27T00:00:00Z,GSM879795,"whole animal\, daf-2(e1370) mutant",SRP011038,,,adult (5 days after L4),whole animal
SRR413518,RNA-Seq,76,2835175668,PRJNA151765,SAMN00792250,1702254827,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX121895,N2 var. Bristol,wild type,GSM879796,Illumina Genome Analyzer IIx,GSM879796: Endogenous mRNA from  N2 var. Bristol (wildtype) 3,SINGLE,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2012-02-27T00:00:00Z,GSM879796,whole animal; N2 var Bristol,SRP011038,,,adult (5 days after L4),whole animal
SRR413519,RNA-Seq,76,2711401232,PRJNA151765,SAMN00792251,1592156467,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX121896,N2 var. Bristol,daf-2(e1370),GSM879797,Illumina Genome Analyzer IIx,GSM879797: Endogenous mRNA from daf-2(e1370) mutant 3,SINGLE,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2012-02-27T00:00:00Z,GSM879797,"whole animal\, daf-2(e1370) mutant",SRP011038,,,adult (5 days after L4),whole animal
