sequenceID	description	ratio	std	df	tval	pval	seqnames	start	end	width	strand	wormbaseID	publicID	entrezID
C04F12.9	30895 Member of the RNase H family, which digest the RNA strand of an RNA-DNA duplex, has low similarity to a region of ribonuclease H1 (mouse Rnaseh1), which binds to double stranded RNA and DNA-RNA hybrids and degrades RNA from DNA-RNA hybrids C04F12.9	3.799	0.121974477	20	31.14914657	0	chrI	9710088	9710767	680	-	WBGene00007303	rnh-1.3	182229
T13A10.10	25477 Member of the amino acid permease family (major facilitator superfamily), has strong similarity to human cationic amino acid transporters, has moderate similarity to yeast methionine transporters T13A10.10	1.923	0.12450788	20	15.44435181	0	chrIV	6272529	6275721	3193	-	WBGene00000005	aat-4	177388
F46A9.1	31323 Protein of unknown function, has high similarity to uncharacterized C. elegans F46A9.2 F46A9.1	2.347	0.19037323	20	12.32775913	0	chrI	9457456	9458842	1387	+	WBGene00009754		172772
C08A9.1	32948 Manganese superoxide dismutase sod-3/MnSOD/C08A9.1	1.124	0.11289603	20	9.952637019	0	chrX	17092718	17094223	1506	+	WBGene00004932	sod-3	181748
T19H12.10	25547 Protein containing a UDP-glucoronosyl and UDP-glucosyl transferase domain, has weak similarity to UDP-glucuronosyltransferase 8 (UDP-galactose ceramide galactosyltransferase, rat Ugt8), which catalyzes the formation of galactosylceramide from ceramide T19H12.10	1.079	0.109991655	20	9.805767507	0	chrV	4892588	4895071	2484	-	WBGene00020593	ugt-11	178882
F21F3.3	24385 Protein with moderate similarity to farnesyl cysteine carboxyl methyltransferase (S. pombe Mam4p), which is required for the production of mature M-factor mating pheromone F21F3.3	3.196	0.327731182	20	9.752632493	0	chrI	4901918	4903264	1347	+	WBGene00017673	icmt-1	172106
F21F3.5	28272 Nicotinic acetylcholine receptor alpha subunit unc-38/F21F3.5	2.292	0.24920337	20	9.197007747	0	chrI	4897620	4901005	3386	-	WBGene00006774	unc-38	172105
E03A3.4	32093 Protein with high similarity to H3 histone family 3A (mouse H3f3a), which is expressed independently of DNA replication and is required for normal growth rates and male fertility, member of the histone family of nucleosomal core proteins E03A3.4	1.069	0.118074429	20	9.053969809	0	chrIII	4059633	4060172	540	-	WBGene00001944	his-70	184006
F01D5.1	32112 Protein containing a DUF18 domain of unknown function, has high similarity to uncharacterized C. elegans Y39G8B.7 F01D5.1	1.038	0.115609137	20	8.981870105	0	chrII	13996958	13997606	649	-	WBGene00008492		175049
F26G1.7	32245	1.045	0.11493047	19	9.090786694	0	chrII	4785849	4786316	468	-	WBGene00003424	msp-3	173825
F44D12.7	52523 Protein containing a major sperm protein (MSP) domain, which are involved in sperm motility, has very strong similarity to uncharacterized C. elegans F44D12.3 F44D12.7	1.141	0.132637638	20	8.599091628	0	chrIV	10035638	10035967	330	+	WBGene00009684	msd-3	177866
W03D8.10	25795 Protein of unknown function, has high similarity to uncharacterized C. elegans W03D8.9 W03D8.10	1.268	0.148644031	20	8.527835883	0	chrI	2786332	2787514	1183	+	WBGene00020991		NA
F09C12.2	24112 Protein containing a protein kinase domain, has a region of high similarity to S. pombe Spk1p, which is a mitogen-activated protein kinase acting in the mating and sporulation pathways F09C12.2	1.021	0.124678185	19	8.187773445	0	chrII	5110012	5112243	2232	+	WBGene00017277		353395
W05E7.1	29470 Protein of unknown function, has strong similarity to C. elegans GRD-4 grd-3/grd-13/W05E7.1	1.215	0.154469814	20	7.867176124	0	chrIV	3439655	3440453	799	+	WBGene00001692	grd-3	177109
F58A6.8	32456	1.041	0.134431479	20	7.745311179	0	chrII	5156700	5157083	384	-	WBGene00003438	msp-45	173884
F44D12.3	31291 Protein containing a major sperm protein (MSP) domain, which are involved in sperm motility, has very strong similarity to uncharacterized C. elegans F44D12.5 F44D12.3	1.226	0.164100021	20	7.468844593	0	chrIV	10022263	10022705	443	-	WBGene00009680	msd-1	177863
C35D10.11	51716 Member of an uncharacterized protein family C35D10.11	1.197	0.160728739	20	7.449962325	0	chrIII	4868329	4868769	441	-	WBGene00016447	msd-4	175648
