chromosome1	x1	x2	chromosome2	y1	y2	color	APScoreAvg	ProbabilityofEnrichment	RegAPScoreAvg	Avg_diffMaxNeihgboor_1	Avg_diffMaxNeihgboor_2	avg	std	value
chrIII	7600000	7610000	chrIII	9310000	9320000	0,0,0	2.2618363	0.9301877	1.6606033	0.5422944	0.834575	2.180182	0.23663746	2.6622214
chrIII	12790000	12800000	chrIII	13590000	13600000	0,0,0	2.9231517	0.96884453	1.4755623	1.4801736	1.944232	2.1534152	0.6289864	3.4691253
chrIII	13690000	13700000	chrIII	13760000	13770000	0,0,0	3.9513686	1.0	3.0809672	0.44829458	0.5262878	1.7818398	0.19186851	2.1803238
chrIII	1360000	1370000	chrIII	2050000	2060000	0,0,0	2.1958811	0.93770957	1.572219	0.498322	0.98285604	2.3332825	0.39948785	2.7762353
chrIII	1300000	1310000	chrIII	1650000	1660000	0,0,0	2.0906107	0.9146744	1.4390074	0.5708146	0.9133644	1.9541452	0.2630627	2.4615357
chrIII	450000	460000	chrIII	920000	930000	0,0,0	2.0266733	0.9485324	1.3224643	0.9084681	1.1566772	2.159583	0.38685027	2.9671104
chrIII	12300000	12310000	chrIII	13590000	13600000	0,0,0	2.0417044	0.92347205	1.3498862	0.59448224	1.063621	2.041937	0.3640782	2.570366
chrIII	5350000	5360000	chrIII	6510000	6520000	0,0,0	2.816087	0.96046805	1.4745097	1.4237058	1.6931965	1.9654642	0.75852084	3.2309809
chrIII	13040000	13050000	chrIII	13590000	13600000	0,0,0	2.1295397	0.93791115	1.3156391	0.933065	1.1933175	1.9500861	0.48990306	2.7794774
chrIII	12770000	12780000	chrIII	13490000	13500000	0,0,0	2.2931123	0.9104442	1.5906382	0.5331994	0.8884695	1.9391891	0.32036185	2.4131439
chrIII	5750000	5760000	chrIII	6690000	6700000	0,0,0	2.138403	1.0	1.4549007	0.57162374	0.70774436	1.48129	0.312435	1.9893999
chrIII	12090000	12100000	chrIII	12780000	12790000	0,0,0	2.431451	0.9224014	1.5190357	0.91603875	1.0409335	1.7422149	0.41031426	2.5564716
chrIII	6040000	6050000	chrIII	6760000	6770000	0,0,0	2.1543481	1.0	1.5115006	0.49071866	0.6464029	1.4764625	0.18327722	1.9126568
chrIII	6770000	6780000	chrIII	7600000	7610000	0,0,0	2.4500499	1.0	1.5458964	0.68148553	1.0324191	1.7756457	0.3669907	2.3814106
chrIII	13060000	13070000	chrIII	13710000	13720000	0,0,0	5.5570602	1.0	2.4665282	1.832485	2.246994	2.0113096	0.65062803	3.640185
chrII	12830000	12840000	chrII	13990000	14000000	0,0,0	2.2958689	0.90934545	1.4181198	0.74472916	1.0618895	1.7389663	0.31092402	2.4009478
chrII	1610000	1620000	chrII	2600000	2610000	0,0,0	1.899982	0.90076417	1.2673155	0.6161887	0.89403313	1.7627723	0.23633566	2.3104956
chrII	700000	710000	chrII	2220000	2230000	0,0,0	2.222111	0.9419005	1.3033657	1.2041562	1.2364404	1.775532	0.72404176	2.845893
chrII	9460000	9470000	chrII	9850000	9860000	0,0,0	2.1865268	1.0	1.5670828	0.4232163	0.6684529	1.6119405	0.23629369	1.9881328
chrII	1120000	1130000	chrII	1490000	1500000	0,0,0	2.6127794	1.0	1.4732339	0.9365113	1.3017249	1.7648298	0.458883	2.597284
chrII	8290000	8300000	chrII	9450000	9460000	0,0,0	2.860012	0.95625156	1.4256704	1.2528251	1.8260192	2.0160017	0.5160732	3.129624
chrII	2450000	2460000	chrII	3070000	3080000	0,0,0	2.1830757	1.0	1.3609208	0.80194956	0.87758327	1.4599352	0.37542143	2.1727793
chrII	1320000	1330000	chrII	2230000	2240000	0,0,0	2.7165246	1.0	1.6711295	0.96646225	1.0918301	1.7603753	0.52479625	2.6194527
chrII	10550000	10560000	chrII	11630000	11640000	0,0,0	3.042638	0.9532635	1.4473336	1.5030931	1.758247	1.7274646	0.6279208	3.0635476
chrII	14400000	14410000	chrII	14800000	14810000	0,0,0	2.075458	0.90880924	1.2981682	0.6691887	1.0669398	1.8002156	0.33208925	2.39505
chrII	2970000	2980000	chrII	3950000	3960000	0,0,0	4.118799	1.0	1.7944396	1.8044609	2.0600736	1.7555522	0.63386977	3.3595173
chrII	10550000	10560000	chrII	11750000	11760000	0,0,0	2.994556	0.9601342	1.5761546	0.9529849	1.9085122	2.3754735	0.47134766	3.2225711
chrII	12390000	12400000	chrII	12840000	12850000	0,0,0	2.105325	1.0	1.5173578	0.45044637	0.63848644	1.5789135	0.2346738	1.9793103
chrII	14240000	14250000	chrII	15200000	15210000	0,0,0	3.5802581	1.0	2.3696392	0.5438515	1.0512471	2.0209744	0.3474143	2.504398
chrII	1850000	1860000	chrII	2370000	2380000	0,0,0	3.0109937	1.0	1.9520863	0.7132694	0.978083	1.7949475	0.36561942	2.4289649
chrII	1920000	1930000	chrII	3340000	3350000	0,0,0	2.296822	0.94003874	1.4361256	0.9229012	1.1864101	1.9939921	0.39296728	2.8143487
chrII	1700000	1710000	chrII	3850000	3860000	0,0,0	2.2533755	0.95266235	1.6736255	0.6266705	0.91307575	2.4937258	0.40211585	3.0507662
chrII	2210000	2220000	chrII	3510000	3520000	0,0,0	1.9231585	0.9126762	1.2803327	0.76931906	0.8888452	1.7545458	0.29432896	2.438385
chrII	1200000	1210000	chrII	2230000	2240000	0,0,0	3.3587158	0.96948075	1.6245389	1.7335762	1.9485824	1.948803	0.6534298	3.4897594
chrII	6010000	6020000	chrII	7440000	7450000	0,0,0	2.024733	0.9109153	1.3325033	0.75470376	0.91456336	1.7475709	0.39288995	2.4184186
chrII	2230000	2240000	chrII	2910000	2920000	0,0,0	2.6776795	1.0	1.3512809	1.2228609	1.3642062	1.4655471	0.42278314	2.5525346
chrII	3170000	3180000	chrII	3770000	3780000	0,0,0	2.2634552	1.0	1.5284988	0.6443392	0.7512249	1.542932	0.30118716	2.115678
chrII	1230000	1240000	chrII	2980000	2990000	0,0,0	2.6199021	0.9700481	1.4290544	0.8064763	2.0885794	2.7916603	0.6811535	3.5085282
chrII	5150000	5160000	chrII	6010000	6020000	0,0,0	2.2000904	1.0	1.4857893	0.5526012	0.77849996	1.5880618	0.25384957	2.079263
chrII	1120000	1130000	chrII	1320000	1330000	0,0,0	2.5631223	1.0	1.7170432	0.57570076	0.9085046	1.8077878	0.34428516	2.3195217
chrII	9530000	9540000	chrII	10330000	10340000	0,0,0	2.440794	0.9163377	1.4421172	0.8761043	1.1482282	1.702465	0.49301618	2.4812245
chrII	6650000	6660000	chrII	8290000	8300000	0,0,0	2.1794806	0.92777467	1.3518226	0.66300035	1.227989	2.038903	0.4132225	2.6282365
chrII	8370000	8380000	chrII	9450000	9460000	0,0,0	2.1474285	0.9098837	1.5468357	0.614017	0.7448086	1.8611112	0.27788335	2.4069037
chrIV	4180000	4190000	chrIV	4390000	4400000	0,0,0	2.8219905	1.0	1.4164383	1.0895579	1.5911946	1.776138	0.440947	2.744634
chrIV	16220000	16230000	chrIV	16590000	16600000	0,0,0	2.0400205	1.0	1.5069917	0.45793003	0.5875589	1.5929639	0.2674083	2.0000129
chrIV	16410000	16420000	chrIV	16490000	16500000	0,0,0	2.231651	0.90516526	1.3858013	0.70728815	1.0415581	1.7271632	0.25366476	2.3558636
chrIV	13920000	13930000	chrIV	15070000	15080000	0,0,0	2.486505	0.92903644	1.4717065	0.90055585	1.2369661	1.8453693	0.4326679	2.6458633
chrIV	11240000	11250000	chrIV	12910000	12920000	0,0,0	1.8252325	0.9135432	1.306796	0.5392492	0.8169848	1.9690318	0.3334817	2.4483645
chrIV	4180000	4190000	chrIV	4720000	4730000	0,0,0	3.0419843	1.0	1.4621013	1.3462163	1.7151915	1.7464348	0.56684214	2.9430716
chrIV	16490000	16500000	chrIV	17270000	17280000	0,0,0	2.798787	0.96314234	1.3334223	1.254004	2.073508	2.186363	0.62163454	3.3010333
chrIV	5000000	5010000	chrIV	5430000	5440000	0,0,0	2.1727257	1.0	1.533294	0.54669416	0.65533936	1.533624	0.262851	2.0195744
chrIV	2820000	2830000	chrIV	3200000	3210000	0,0,0	2.2176895	1.0	1.4657801	0.61672735	0.7917632	1.5284224	0.3564812	2.0766244
chrIV	3180000	3190000	chrIV	3450000	3460000	0,0,0	2.1726038	1.0	1.3942195	0.629318	0.8627589	1.543886	0.3468808	2.1032798
chrIV	13390000	13400000	chrIV	14070000	14080000	0,0,0	2.8309202	1.0	1.6811773	0.689405	0.98421013	1.4813237	0.2556895	2.0941281
chrIV	14790000	14800000	chrIV	17270000	17280000	0,0,0	3.1439915	0.98586917	1.5797474	1.8408823	2.3911467	2.623498	0.77695495	4.2598376
chrIV	3430000	3440000	chrIV	3930000	3940000	0,0,0	1.8538638	0.9033341	1.4013923	0.40351778	0.689375	1.978054	0.19115381	2.3367364
chrIV	11810000	11820000	chrIV	13020000	13030000	0,0,0	2.275063	0.9051119	1.4823033	0.6306957	0.9670258	1.7946829	0.22480817	2.3553011
chrIV	16170000	16180000	chrIV	17470000	17480000	0,0,0	4.17569	1.0	2.434982	0.73258233	1.6044356	2.3743963	0.34820628	3.025581
chrIV	14790000	14800000	chrIV	15030000	15040000	0,0,0	2.2629614	0.9121807	1.365407	0.82404214	1.0956165	1.7002447	0.36063758	2.4327264
chrIV	15520000	15530000	chrIV	16840000	16850000	0,0,0	2.6508439	0.95182306	1.536705	1.115578	1.4341438	2.0415647	0.6522912	3.0331895
chrIV	16850000	16860000	chrIV	17100000	17110000	0,0,0	2.0320969	0.9003596	1.439798	0.4142285	0.84328943	1.9382235	0.27376243	2.3064265
chrIV	16410000	16420000	chrIV	16840000	16850000	0,0,0	2.6361344	0.9342631	1.3753493	1.3490134	1.3599191	1.5232542	0.5552692	2.7223773
chrIV	9580000	9590000	chrIV	10030000	10040000	0,0,0	2.0681217	1.0	1.3788635	0.48986614	0.7513643	1.4777758	0.22303273	1.9132124
chrIV	13610000	13620000	chrIV	15150000	15160000	0,0,0	2.7819297	0.9537871	1.5056888	1.3353448	1.5363983	1.8878416	0.6383335	3.0748148
